sample_idx,neff
0,214
1,224
2,608
3,482
4,408
5,297
6,250
7,341
8,227
9,661
10,343
11,307
12,228
13,204
14,242
15,516
16,263
17,321
18,379
19,371
20,462
21,352
22,222
23,446
24,197
25,173
26,242
27,336
28,284
29,308
30,440
31,383
32,237
33,195
34,186
35,522
36,281
37,382
38,199
39,142
40,274
41,419
42,198
43,442
44,512
45,358
46,220
47,284
48,247
49,271
50,189
51,184
52,374
53,470
54,413
55,220
56,350
57,225
58,320
59,236
60,285
61,300
62,278
63,373
64,313
65,167
66,222
67,295
68,287
69,429
70,188
71,180
72,284
73,464
74,305
75,341
76,212
77,235
78,385
79,451
80,401
81,222
82,199
83,401
84,503
85,208
86,263
87,225
88,407
89,579
90,519
91,401
92,166
93,348
94,273
95,351
96,180
97,385
98,698
99,273
